Sorted by duration_sec DESC (then size_bytes DESC)
name	duration_hms	duration_sec	size_mb	size_bytes	path	indexed_in_db
HOT --- Indiana Jones ｜ Adventurous Ambient Soundscapes with Epic Music from the Film Series, 4 Scenes in 4k.mp3	03:00:11	10810.880	165.818	173872407	contacts/expedition/expeditions/hot/HOT --- Indiana Jones ｜ Adventurous Ambient Soundscapes with Epic Music from the Film Series, 4 Scenes in 4k.mp3	yes
Blizzard Storm Sounds ｜ Relaxing Winter Background Sounds ｜ Heavy Wind & Snow.mp3	03:00:06	10806.283	165.997	174060180	ancient/ithaqua/Blizzard Storm Sounds ｜ Relaxing Winter Background Sounds ｜ Heavy Wind & Snow.mp3	yes
Sitting in an empty 1920's bar - Ambience 3 Hours focus.mp3	03:00:00	10800.144	164.799	172804396	action-muted/Sitting in an empty 1920's bar - Ambience 3 Hours focus.mp3	yes
Abandoned City ｜ Eerie Ambience ｜ 3 Hours.mp3	03:00:00	10800.091	165.576	173618534	contacts/devastation/Abandoned City ｜ Eerie Ambience ｜ 3 Hours.mp3	yes
3 Hours of ＂Prison＂ Ambience  - Amnesia The Dark Descent (No Music).mp3	03:00:00	10800.091	165.319	173349805	contacts/obstruction/detained/3 Hours of ＂Prison＂ Ambience  - Amnesia The Dark Descent (No Music).mp3	yes
Cthulhu Dreams in R'lyeh ｜ Underwater Dark Ambience ｜ 3 Hours.mp3	03:00:00	10800.091	164.799	172804742	ancient/antediluvium/Cthulhu Dreams in R'lyeh ｜ Underwater Dark Ambience ｜ 3 Hours.mp3	yes
Cthulhu ｜ DARK AMBIENT LOVECRAFTIAN MUSIC - 3 hours.mp3	03:00:00	10800.065	165.537	173578263	ancient/cthulhu/Cthulhu ｜ DARK AMBIENT LOVECRAFTIAN MUSIC - 3 hours.mp3	yes
＂Yeti's Realm＂ Fantasy Ambience ⧸ Himalayan Encounter - Blowing Snow, Creature Sounds.mp3	03:00:00	10800.065	164.797	172802388	ancient/ithaqua/＂Yeti's Realm＂ Fantasy Ambience ⧸ Himalayan Encounter - Blowing Snow, Creature Sounds.mp3	yes
You're at a ball in The Gold Room (1921 Overlook Hotel ambience, oldies, people chatter 3 HOURS ASMR.mp3	02:56:56	10615.589	161.986	169854804	action-muted/You're at a ball in The Gold Room (1921 Overlook Hotel ambience, oldies, people chatter 3 HOURS ASMR.mp3	yes
D&D Ambience -  Calm Sea Sailing.mp3	02:55:20	10520.085	161.889	169752537	contacts/general/sea/space-2/D&D Ambience -  Calm Sea Sailing.mp3	yes
D&D Ambience -  Dark, Dank Cave.mp3	02:55:20	10520.085	161.744	169600996	contacts/other-world/underworld/D&D Ambience -  Dark, Dank Cave.mp3	yes
3 UNDERWORLD --- D&D Ambience -  Dark, Dank Cave.m4a	02:55:20	10520.080	162.256	170138159	contacts/dreamlands/underworld/3 UNDERWORLD --- D&D Ambience -  Dark, Dank Cave.m4a	yes
D&D Ambience - Ship In Storm.mp3	02:55:20	10520.007	161.865	169728261	contacts/general/sea/space-13/D&D Ambience - Ship In Storm.mp3	yes
D&D Ambience - Ship Cabin.mp3	02:55:20	10520.007	161.371	169209920	contacts/general/sea/space-12/D&D Ambience - Ship Cabin.mp3	yes
6 SELEPHAIS --- Y2meta.app - Arabic Ambience _ Old Arabian City Ambience (128 kbps).mp3	02:31:23	9083.087	138.597	145329530	contacts/dreamlands/celephais/6 SELEPHAIS --- Y2meta.app - Arabic Ambience _ Old Arabian City Ambience (128 kbps).mp3	yes
Victorian Ambience： LONDON'S MYSTERY - The Dark Alley ｜ Mysterious Ambient Music with Thunderstorm (mp3cut.net).mp3	02:18:53	8332.800	127.157	133334113	contacts/big-city/london/Victorian Ambience： LONDON'S MYSTERY - The Dark Alley ｜ Mysterious Ambient Music with Thunderstorm (mp3cut.net).mp3	yes
Amarna -- Relaxing Ancient Egyptian Music & Night River Ambience ｜ Triangle Harp ｜ sleep, study, meditation.mp3	02:10:19	7818.815	119.677	125490039	contacts/egypt/tel-el-amarna/Amarna -- Relaxing Ancient Egyptian Music & Night River Ambience ｜ Triangle Harp ｜ sleep, study, meditation.mp3	yes
Alexandria -- you're in the library of alexandria overflowing your mind with so much knowledge (playlist).mp3	02:02:39	7359.164	112.294	117749295	contacts/egypt/alexandria/Alexandria -- you're in the library of alexandria overflowing your mind with so much knowledge (playlist).mp3	yes
2h Dark Cinematic Ambience “The Shadow Out of Time”.mp3	02:02:03	7322.514	113.049	118540676	contacts/other-world/great-race/2h Dark Cinematic Ambience “The Shadow Out of Time”.mp3	yes
Cthulhu's Temple - Dark Ambient Music - Immersive Lovecraftian Horror Atmosphere.mp3	02:01:51	7310.524	111.553	116971796	ancient/cthulhu/Cthulhu's Temple - Dark Ambient Music - Immersive Lovecraftian Horror Atmosphere.mp3	yes
1 ENCHANTED WOOD --- Enchanted Forest - Music & Ambience ✨🌲🧚🏻 (mp3cut.net).mp3	02:01:31	7290.985	112.348	117804937	contacts/dreamlands/enchanted-wood/1 ENCHANTED WOOD --- Enchanted Forest - Music & Ambience ✨🌲🧚🏻 (mp3cut.net).mp3	yes
2 Saat Osmanlı Musiki (Hasret).mp3	02:01:08	7267.683	112.387	117846391	contacts/big-city/istanbul/2 Saat Osmanlı Musiki (Hasret).mp3	yes
2 Hours of Dark Mystery Horror Music： Beyond Arkham H.P. Lovecraft.mp3	02:00:14	7213.944	111.528	116945821	mythos/2 Hours of Dark Mystery Horror Music： Beyond Arkham H.P. Lovecraft.mp3	yes
2 You find yourself in a familiar city, but there's no electricity.mp3	02:00:00	7200.418	110.259	115615279	contacts/other-world/future/2/2 You find yourself in a familiar city, but there's no electricity.mp3	yes
Occult Meditation - Gregorian Chants - Dark Monastic Chantings - Occult Dark Ambient Music.mp3	02:00:00	7200.078	110.533	115901767	ancient/abhoth/Occult Meditation - Gregorian Chants - Dark Monastic Chantings - Occult Dark Ambient Music.mp3	yes
Sancta Tenebrae -  Occult Dark Ambient Music - Dark Monastic Chantings - Dark Gregorian Chants.mp3	02:00:00	7200.078	110.306	115664656	ancient/abhoth/Sancta Tenebrae -  Occult Dark Ambient Music - Dark Monastic Chantings - Dark Gregorian Chants.mp3	yes
DARK AMBIENT MUSIC ｜ H. P. Lovecraft - The Dunwich Horror.mp3	02:00:00	7200.000	111.094	116490945	ancient/yog-sothoth/DARK AMBIENT MUSIC ｜ H. P. Lovecraft - The Dunwich Horror.mp3	yes
Post Apocalyptic City Ruins ｜ Ambience ｜ 2 hours.mp3	02:00:00	7199.556	110.866	116251233	contacts/devastation/Post Apocalyptic City Ruins ｜ Ambience ｜ 2 hours.mp3	yes
Prison Cell ｜ Ambience ｜ 2 hours.mp3	01:59:59	7199.086	111.217	116619679	contacts/obstruction/detained/Prison Cell ｜ Ambience ｜ 2 hours.mp3	yes
ANUBIS Meditation - Dark Mysterious Atmospheric Ambient Music.mp3	01:59:59	7199.086	110.463	115829253	ancient/nephren-ka/ANUBIS Meditation - Dark Mysterious Atmospheric Ambient Music.mp3	yes
OSIRIS Meditation - Egypt God Meditation - Dark Mysterious Atmospheric Ambient Music.mp3	01:59:59	7199.086	110.381	115742876	ancient/nephren-ka/OSIRIS Meditation - Egypt God Meditation - Dark Mysterious Atmospheric Ambient Music.mp3	yes
Amarna -- Mysterious Ancient Egyptian Tomb Ambience ASMR 🏺 Tomb Sounds, Sand Debris, Moaning Phantoms + Mor (mp3cut.net).mp3	01:59:57	7197.074	111.169	116569402	contacts/egypt/tel-el-amarna/Amarna -- Mysterious Ancient Egyptian Tomb Ambience ASMR 🏺 Tomb Sounds, Sand Debris, Moaning Phantoms + Mor (mp3cut.net).mp3	yes
20s & 20s Music： Roaring 20s Music and Songs Playlist (Vintage 20s Jazz Music).mp3	01:59:54	7194.175	109.781	115113531	action/20s & 20s Music： Roaring 20s Music and Songs Playlist (Vintage 20s Jazz Music).mp3	yes
20s Music and 20s Music Hits with 20s Music Instrumental Playlist.mp3	01:59:46	7186.416	110.342	115701908	action/20s Music and 20s Music Hits with 20s Music Instrumental Playlist.mp3	yes
Discovery - 2 Hours of Ambient Sci Fi Music ｜ Tranquil Atmospheric Ambience.mp3	01:58:27	7106.612	109.924	115263326	contacts/expedition/ruins/Discovery - 2 Hours of Ambient Sci Fi Music ｜ Tranquil Atmospheric Ambience.mp3	yes
Astray - A Deeply Mysterious Ambient Journey - Ethereal Ambient Forest Music [Sci Fi⧸Fantasy Vibes].mp3	01:58:27	7106.612	109.076	114374796	contacts/expedition/ruins/Astray - A Deeply Mysterious Ambient Journey - Ethereal Ambient Forest Music [Sci Fi⧸Fantasy Vibes].mp3	yes
dark-ambient-east-(black25-teach me the magick of your sacred poems).mp3	01:52:36	6755.553	103.086	108093494	ancient/abhoth/dark-ambient-east-(black25-teach me the magick of your sacred poems).mp3	yes
Anne-Sophie Mutter und Münchner Orchester - Beethoven Violinkonzert - Beethoven 5 (mp3cut.net).mp3	01:49:41	6581.016	100.828	105725548	special/characters/patrice-hathaway/Anne-Sophie Mutter und Münchner Orchester - Beethoven Violinkonzert - Beethoven 5 (mp3cut.net).mp3	yes
5 CITY OF THE ELDER --- Arkham Horror The Card Game - City of the Elder Things - Original Soundtrack from Edge of the Earth.mp3	01:47:01	6420.506	146.954	154092283	contacts/antarctica/city-of-elder-things/5 CITY OF THE ELDER --- Arkham Horror The Card Game - City of the Elder Things - Original Soundtrack from Edge of the Earth.mp3	yes
Vintage Music ｜ Best Songs From The Roaring 1920s #vintage  #goldenage  #roaring20s.mp3	01:31:39	5499.089	83.916	87992279	action/Vintage Music ｜ Best Songs From The Roaring 1920s #vintage  #goldenage  #roaring20s.mp3	yes
DARK MYSTERIOUS AMBIENT MUSIC ｜ The Hall of the Dead King.mp3	01:30:56	5456.065	83.818	87890019	contacts/expedition/ruins/DARK MYSTERIOUS AMBIENT MUSIC ｜ The Hall of the Dead King.mp3	yes
The Curse of La Llorona ｜ Dark Mysterious Ambient Music.mp3	01:30:00	5400.111	83.109	87145896	contacts/big-city/buenos-aires/The Curse of La Llorona ｜ Dark Mysterious Ambient Music.mp3	yes
you're in a russian novel _ dark academia playlist [RveIxb_jZmM].mp3	01:23:34	5014.335	64.350	67476118	contacts/general/city/space-16/you're in a russian novel _ dark academia playlist [RveIxb_jZmM].mp3	yes
1920s Orchestra Swing Love Music From The Golden Age ｜ Old Dusty Fascinated Vinyls.mp3	01:21:54	4914.077	74.994	78636641	action/1920s Orchestra Swing Love Music From The Golden Age ｜ Old Dusty Fascinated Vinyls.mp3	yes
3 UNDERWORLD --- CAVE SOUNDS for DEEP SLEEP ⛰️  INSIDE the CAVE Ambience⧸ASMR + WATER DRIPPING.m4a	01:20:00	4800.053	74.036	77632560	contacts/dreamlands/underworld/3 UNDERWORLD --- CAVE SOUNDS for DEEP SLEEP ⛰️  INSIDE the CAVE Ambience⧸ASMR + WATER DRIPPING.m4a	yes
Cthulhu - A Cryo Chamber Collaboration.mp3	01:19:43	4782.603	74.950	78590936	ancient/antediluvium/Cthulhu - A Cryo Chamber Collaboration.mp3	yes
Fascinating Rhythm： Great 1920s Vintage Jazz Music Hits (Past Perfect) #TheCharleston.mp3	01:18:42	4722.077	72.062	75562496	action/Fascinating Rhythm： Great 1920s Vintage Jazz Music Hits (Past Perfect) #TheCharleston.mp3	yes
Dunwich Fantasia - Gnosis of Yog-Sothoth (Lovecraftian Dark Ambient Hour).mp3	01:17:59	4678.505	71.390	74858331	ancient/yog-sothoth/Dunwich Fantasia - Gnosis of Yog-Sothoth (Lovecraftian Dark Ambient Hour).mp3	yes
1920s Music Golden Age Orchestra Music ｜ Old Dusty Fascinated Grooves Playlist.mp3	01:17:50	4670.093	71.267	74728896	action/1920s Music Golden Age Orchestra Music ｜ Old Dusty Fascinated Grooves Playlist.mp3	yes
Charleston： Great Stars And Songs of the 1920s. Dance to Tunes Remastered by Past Perfect.mp3	01:16:14	4574.067	69.803	73193492	action/Charleston： Great Stars And Songs of the 1920s. Dance to Tunes Remastered by Past Perfect.mp3	yes
Various – Vintage Music From India [Full Compilation] [QD8RbhySzts].mp3	01:15:55	4554.998	52.281	54820159	contacts/general/city/space-17/Various – Vintage Music From India [Full Compilation] [QD8RbhySzts].mp3	yes
DARK AMBIENT MUSIC ｜ Yuki-onna - The Snow Woman will leave you frozen in Fear.mp3	01:13:26	4405.969	68.512	71840305	contacts/big-city/shanghai/DARK AMBIENT MUSIC ｜ Yuki-onna - The Snow Woman will leave you frozen in Fear.mp3	yes
The Shadow Over Innsmouth ¦ 1 Hour of Dark Mystery HP Lovecraft Horror Music.mp3	01:12:58	4378.253	67.926	71225645	mythos/The Shadow Over Innsmouth ¦ 1 Hour of Dark Mystery HP Lovecraft Horror Music.mp3	yes
Out of Space and Time (Dark Ambient Hour).mp3	01:12:23	4343.354	67.197	70461489	contacts/obstruction/lost/Out of Space and Time (Dark Ambient Hour).mp3	yes
Nyarlathotep  - Dark Music Part 2 ⧸ 3.mp3	01:11:56	4315.847	66.419	69645454	ancient/nyarlathotep/Nyarlathotep  - Dark Music Part 2 ⧸ 3.mp3	yes
ANUBIS AWAKENS ｜ Dark Mysterious Ambient Music.mp3	01:11:14	4273.763	65.696	68886986	ancient/nephren-ka/ANUBIS AWAKENS ｜ Dark Mysterious Ambient Music.mp3	yes
Hastur 2 ⧸ 2.mp3	01:10:35	4235.180	65.274	68445040	ancient/hastur/Hastur 2 ⧸ 2.mp3	yes
Yig 1⧸2 - A Cryo Chamber Collaboration.mp3	01:10:21	4221.048	65.331	68504699	ancient/yig/Yig 1⧸2 - A Cryo Chamber Collaboration.mp3	yes
Hastur 1 ⧸ 2.mp3	01:09:44	4183.771	64.490	67622496	ancient/hastur/Hastur 1 ⧸ 2.mp3	yes
The King in Yellow ¦ 1 Hour of Dark Orchestral Horror Music.mp3	01:09:11	4150.570	64.472	67603893	ancient/hastur/The King in Yellow ¦ 1 Hour of Dark Orchestral Horror Music.mp3	yes
Yig 2⧸2 - A Cryo Chamber Collaboration.mp3	01:09:07	4146.528	64.194	67312413	ancient/yig/Yig 2⧸2 - A Cryo Chamber Collaboration.mp3	yes
Epic Dark Dramatic Intense Action Music ｜ ＂ Chaos And DESTRUCTION ＂ - Epic Battle Music Mix 2023.mp3	01:09:01	4140.722	64.256	67377740	ancient/shudde-mell/Epic Dark Dramatic Intense Action Music ｜ ＂ Chaos And DESTRUCTION ＂ - Epic Battle Music Mix 2023.mp3	yes
Alexandria -- Ancient Egyptian ｜ Ambience & Music - Necropolis of Alexandria (mp3cut.net).mp3	01:08:38	4117.812	63.527	66612538	contacts/egypt/alexandria/Alexandria -- Ancient Egyptian ｜ Ambience & Music - Necropolis of Alexandria (mp3cut.net).mp3	yes
Summoning Cthulhu - Sounds from the Deep.mp3	01:08:21	4101.225	62.584	65624566	ancient/antediluvium/Summoning Cthulhu - Sounds from the Deep.mp3	yes
5 DYLATH-LEEN --- Thebes - Ancient Fantasy Journey Music   - Beautiful Ambient Duduk for Study, Reading and Focus.mp3	01:08:12	4092.056	63.301	66375971	contacts/dreamlands/dylath-leen/5 DYLATH-LEEN --- Thebes - Ancient Fantasy Journey Music   - Beautiful Ambient Duduk for Study, Reading and Focus.mp3	yes
Nyarlathotep  - Dark Music Part 1 ⧸ 3.mp3	01:05:53	3952.901	60.881	63838377	ancient/nyarlathotep/Nyarlathotep  - Dark Music Part 1 ⧸ 3.mp3	yes
Azathoth 2 ⧸ 2.mp3	01:05:00	3900.134	59.908	62817765	ancient/azathoth/Azathoth 2 ⧸ 2.mp3	yes
DEMONS _ 1 HOUR of Epic Dark Evil Sinister Dramatic Horror Music [SN5awaBMkuY].mp3	01:04:47	3886.733	56.810	59569538	combat-epic/DEMONS _ 1 HOUR of Epic Dark Evil Sinister Dramatic Horror Music [SN5awaBMkuY].mp3	yes
1 Hour HP Lovecraft Music ¦ The Esoteric Order of Dagon.mp3	01:04:42	3882.024	59.991	62905609	mythos/1 Hour HP Lovecraft Music ¦ The Esoteric Order of Dagon.mp3	yes
INNER SANCTUM  ( 1 Hour  Meditation in Darkness) - Occult Dark Ambient - V E X A G O R A.mp3	01:04:21	3861.081	59.560	62453148	ancient/abhoth/INNER SANCTUM  ( 1 Hour  Meditation in Darkness) - Occult Dark Ambient - V E X A G O R A.mp3	yes
1920s Hotel ASMR Ambience {with vintage music from Tower of Terror}.mp3	01:04:17	3856.927	59.021	61888072	action-muted/1920s Hotel ASMR Ambience {with vintage music from Tower of Terror}.mp3	yes
Tense Fight _ D&D_TTRPG Battle_Combat_Fight Music _ 1 Hour _ Copyright free [378jfMSW8V4].mp3	01:04:02	3841.959	50.361	52807280	combat/Tense Fight _ D&D_TTRPG Battle_Combat_Fight Music _ 1 Hour _ Copyright free [378jfMSW8V4].mp3	yes
HOT --- Wilderness Travel ｜ D&D⧸TTRPG Music ｜ 1 Hour.mp3	01:03:41	3821.479	59.632	62528356	contacts/expedition/expeditions/hot/HOT --- Wilderness Travel ｜ D&D⧸TTRPG Music ｜ 1 Hour.mp3	yes
Cthulhu - Dark Atmospheric Ambient Journey - Lovecraftian Horror Music Inspired by H.P. Lovecraft.mp3	01:03:27	3806.772	58.871	61731120	ancient/cthulhu/Cthulhu - Dark Atmospheric Ambient Journey - Lovecraftian Horror Music Inspired by H.P. Lovecraft.mp3	yes
CITY --- Large City ｜ D&D⧸TTRPG Music ｜ 1 Hour.mp3	01:03:12	3791.621	59.052	61920339	contacts/expedition/expeditions/city/CITY --- Large City ｜ D&D⧸TTRPG Music ｜ 1 Hour.mp3	yes
you're inside the cosmic horror world of lovecraft (a playlist).mp3	01:02:57	3777.463	57.642	60442445	contacts/other-world/dreamlands/you're inside the cosmic horror world of lovecraft (a playlist).mp3	yes
CITY --- The Adventure Begins ｜ D&D⧸TTRPG Music ｜ 1 Hour.mp3	01:02:38	3758.132	58.538	61381358	contacts/expedition/expeditions/city/CITY --- The Adventure Begins ｜ D&D⧸TTRPG Music ｜ 1 Hour.mp3	yes
Noir Jazz Ambience 🎷 Empire of Sin background 🎶 Rainy Night in 1920s Chicago_ Film Noir Remix 🎶 [WPdzpAUEMtA].mp3	01:02:18	3737.809	58.518	61360097	contacts/general/city/space-5/Noir Jazz Ambience 🎷 Empire of Sin background 🎶 Rainy Night in 1920s Chicago_ Film Noir Remix 🎶 [WPdzpAUEMtA].mp3	yes
Epic Combat ｜ D&D⧸TTRPG Battle⧸Combat⧸Fight Music ｜ 1 Hour.mp3	01:02:12	3731.931	58.399	61236043	combat/Epic Combat ｜ D&D⧸TTRPG Battle⧸Combat⧸Fight Music ｜ 1 Hour.mp3	yes
DARK --- Tense Path ｜ D&D⧸TTRPG Music ｜ 1 Hour.mp3	01:02:11	3731.487	57.802	60609389	contacts/expedition/expeditions/cold/DARK --- Tense Path ｜ D&D⧸TTRPG Music ｜ 1 Hour.mp3	yes
Abandoned Town Ambience and Music  fantasy ambience of ruins of a town with music #ambientmusic.mp3	01:02:06	3726.106	85.284	89426683	contacts/devastation/Abandoned Town Ambience and Music  fantasy ambience of ruins of a town with music #ambientmusic.mp3	yes
MEDITATIONS FOR SHAI-HULUD ｜ 1 Hour DUNE Soundscape for Focus.mp3	01:01:56	3715.840	57.140	59915482	ancient/shudde-mell/MEDITATIONS FOR SHAI-HULUD ｜ 1 Hour DUNE Soundscape for Focus.mp3	yes
Azathoth - Lovecraftian Dark Ambient Music - Original Composition inspired by H.P. Lovecraft.m4a	01:01:52	3711.780	57.251	60031717	ancient/azathoth/Azathoth - Lovecraftian Dark Ambient Music - Original Composition inspired by H.P. Lovecraft.m4a	yes
Hallucinations (Lovecraftian Dark Ambient Hour).mp3	01:01:41	3700.950	84.708	88822941	ancient/hypnos/Hallucinations (Lovecraftian Dark Ambient Hour).mp3	yes
1 BASE --- One Hour at Station Blue • Antarctic Horror Ambience.mp3	01:01:36	3695.883	56.624	59374984	contacts/antarctica/miskatonic-outpost/1 BASE --- One Hour at Station Blue • Antarctic Horror Ambience.mp3	yes
Flute of Azathoth - Eldritch Music of the Old Ones ｜ Dark Ambient Music.mp3	01:01:35	3695.282	56.603	59352830	ancient/syzygy/Flute of Azathoth - Eldritch Music of the Old Ones ｜ Dark Ambient Music.mp3	yes
Cairo -- Nation Arab Music Ensemble ＂Classical Music of Egypt＂.mp3	01:01:35	3694.811	56.472	59215662	contacts/egypt/cairo/Cairo -- Nation Arab Music Ensemble ＂Classical Music of Egypt＂.mp3	yes
Rhan-Tegoth Part 1  [ Dark Ambient Lovecraft series].mp3	01:01:34	3694.080	57.215	59993907	mythos/Rhan-Tegoth Part 1  [ Dark Ambient Lovecraft series].mp3	yes
Aberration Fight ｜ D&D⧸TTRPG Battle⧸Combat⧸Fight Music ｜ 1 Hour.mp3	01:01:25	3685.277	57.008	59776926	combat/Aberration Fight ｜ D&D⧸TTRPG Battle⧸Combat⧸Fight Music ｜ 1 Hour.mp3	yes
Yog-Sothoth ( Part 1 of 2 ).mp3	01:01:10	3669.525	56.546	59293094	ancient/yog-sothoth/Yog-Sothoth ( Part 1 of 2 ).mp3	yes
1920s Hotel II ASMR Ambience {8d vintage music}.mp3	01:01:02	3662.315	56.083	58807667	action-muted/1920s Hotel II ASMR Ambience {8d vintage music}.mp3	yes
Nightmares from the Mist - Dark Ambient Music - Immersive Lovecraftian Horror Atmosphere.mp3	01:00:59	3659.233	56.327	59062880	mythos/Nightmares from the Mist - Dark Ambient Music - Immersive Lovecraftian Horror Atmosphere.mp3	yes
RPG BATTLE MUSIC SPIDER ｜ Musica de Batalha Aranhas ｜ No Copyrigh FANTASY MUSIC.mp3	01:00:56	3656.150	56.989	59757541	ancient/atlach-nacha/RPG BATTLE MUSIC SPIDER ｜ Musica de Batalha Aranhas ｜ No Copyrigh FANTASY MUSIC.mp3	yes
1 Hour of H.P. Lovecraft Music： The House on Sentinel Hill for Gaming, Arkham Horror, CoC, D&D.mp3	01:00:45	3644.787	56.818	59577474	mythos/1 Hour of H.P. Lovecraft Music： The House on Sentinel Hill for Gaming, Arkham Horror, CoC, D&D.mp3	yes
Eldritch Horror & Elder Sign： 1 Hour of H.P. Lovecraft Creepy Music for Board Games and Role Playing.mp3	01:00:45	3644.500	56.431	59172452	mythos/Eldritch Horror & Elder Sign： 1 Hour of H.P. Lovecraft Creepy Music for Board Games and Role Playing.mp3	yes
D&DRPG Combat Music Mix  1 Hour  Royalty Free  Travis Savoie.mp3	01:00:39	3638.596	83.282	87327693	combat/D&DRPG Combat Music Mix  1 Hour  Royalty Free  Travis Savoie.mp3	yes
COLD --- Artic Expedition： Unraveling the Frozen Enigma - 1 Hour of Winter Polar Ambience Music 4K ASMR (mp3cut.net).mp3	01:00:30	3630.132	56.489	59233021	contacts/expedition/expeditions/cold/COLD --- Artic Expedition： Unraveling the Frozen Enigma - 1 Hour of Winter Polar Ambience Music 4K ASMR (mp3cut.net).mp3	yes
1920s Music Playing in Another Room ｜ Oldies and Ocean View Ambience.mp3	01:00:28	3628.278	56.536	59282347	action-muted/1920s Music Playing in Another Room ｜ Oldies and Ocean View Ambience.mp3	yes
1 Hour of HP Lovecraft Music ¦ The Streets of Arkham and Other Places.mp3	01:00:27	3627.180	83.020	87052466	contacts/big-city/arkham/1 Hour of HP Lovecraft Music ¦ The Streets of Arkham and Other Places.mp3	yes
1 Hour of H.P. Lovecraft Music： Orchestral Ambient Creepy Horror Music for Role-Playing and Gaming.mp3	01:00:27	3627.128	56.537	59283206	mythos/1 Hour of H.P. Lovecraft Music： Orchestral Ambient Creepy Horror Music for Role-Playing and Gaming.mp3	yes
7 KADATH --- Dream-Quest to Unknown Kadath (Lovecraftian Dark Ambient Hour).mp3	01:00:24	3624.359	56.317	59052519	contacts/dreamlands/unknown-kadath/7 KADATH --- Dream-Quest to Unknown Kadath (Lovecraftian Dark Ambient Hour).mp3	yes
Dream-Quest to Unknown Kadath (Lovecraftian Dark Ambient Hour).mp3	01:00:24	3624.359	56.317	59052519	contacts/other-world/kadath/Dream-Quest to Unknown Kadath (Lovecraftian Dark Ambient Hour).mp3	yes
The Awakening of the Great Old Ones - Dark Ambient Music - Immersive Lovecraftian Horror Atmosphere.mp3	01:00:22	3622.452	55.640	58342763	ancient/rise-of-the-elder-things/The Awakening of the Great Old Ones - Dark Ambient Music - Immersive Lovecraftian Horror Atmosphere.mp3	yes
Shub-Niggurath 2⧸2.mp3	01:00:16	3616.366	55.742	58449299	ancient/shub-niggurath/Shub-Niggurath 2⧸2.mp3	yes
2 ULTHAR Peaceful Village Ambience and Music  morning in a village ambience with fantasy music #ambientmusic.mp3	01:00:16	3615.896	82.761	86781629	contacts/dreamlands/ulthar/2 ULTHAR Peaceful Village Ambience and Music  morning in a village ambience with fantasy music #ambientmusic.mp3	yes
Dark and Mysterious Ambient Music ｜ 1 Hour Playlist ｜ D&D Ambience.mp3	01:00:11	3611.089	55.105	57781754	contacts/expedition/ruins/Dark and Mysterious Ambient Music ｜ 1 Hour Playlist ｜ D&D Ambience.mp3	yes
