name,duration_sec,duration_hms,size_bytes,size_mb,path,indexed_in_db
"Post Apocalyptic City Ruins ｜ Ambience ｜ 2 hours.mp3",7199.556,02:00:00,116251233,110.866,"contacts/devastation/Post Apocalyptic City Ruins ｜ Ambience ｜ 2 hours.mp3",yes
"Occult Meditation - Gregorian Chants - Dark Monastic Chantings - Occult Dark Ambient Music.mp3",7200.078,02:00:00,115901767,110.533,"ancient/abhoth/Occult Meditation - Gregorian Chants - Dark Monastic Chantings - Occult Dark Ambient Music.mp3",yes
"ANUBIS Meditation - Dark Mysterious Atmospheric Ambient Music.mp3",7199.086,01:59:59,115829253,110.463,"ancient/nephren-ka/ANUBIS Meditation - Dark Mysterious Atmospheric Ambient Music.mp3",yes
"OSIRIS Meditation - Egypt God Meditation - Dark Mysterious Atmospheric Ambient Music.mp3",7199.086,01:59:59,115742876,110.381,"ancient/nephren-ka/OSIRIS Meditation - Egypt God Meditation - Dark Mysterious Atmospheric Ambient Music.mp3",yes
"20s Music and 20s Music Hits with 20s Music Instrumental Playlist.mp3",7186.416,01:59:46,115701908,110.342,"action/20s Music and 20s Music Hits with 20s Music Instrumental Playlist.mp3",yes
"Sancta Tenebrae -  Occult Dark Ambient Music - Dark Monastic Chantings - Dark Gregorian Chants.mp3",7200.078,02:00:00,115664656,110.306,"ancient/abhoth/Sancta Tenebrae -  Occult Dark Ambient Music - Dark Monastic Chantings - Dark Gregorian Chants.mp3",yes
"2 You find yourself in a familiar city, but there's no electricity.mp3",7200.418,02:00:00,115615279,110.259,"contacts/other-world/future/2/2 You find yourself in a familiar city, but there's no electricity.mp3",yes
"Discovery - 2 Hours of Ambient Sci Fi Music ｜ Tranquil Atmospheric Ambience.mp3",7106.612,01:58:27,115263326,109.924,"contacts/expedition/ruins/Discovery - 2 Hours of Ambient Sci Fi Music ｜ Tranquil Atmospheric Ambience.mp3",yes
"20s & 20s Music： Roaring 20s Music and Songs Playlist (Vintage 20s Jazz Music).mp3",7194.175,01:59:54,115113531,109.781,"action/20s & 20s Music： Roaring 20s Music and Songs Playlist (Vintage 20s Jazz Music).mp3",yes
"Astray - A Deeply Mysterious Ambient Journey - Ethereal Ambient Forest Music [Sci Fi⧸Fantasy Vibes].mp3",7106.612,01:58:27,114374796,109.076,"contacts/expedition/ruins/Astray - A Deeply Mysterious Ambient Journey - Ethereal Ambient Forest Music [Sci Fi⧸Fantasy Vibes].mp3",yes
"dark-ambient-east-(black25-teach me the magick of your sacred poems).mp3",6755.553,01:52:36,108093494,103.086,"ancient/abhoth/dark-ambient-east-(black25-teach me the magick of your sacred poems).mp3",yes
"Anne-Sophie Mutter und Münchner Orchester - Beethoven Violinkonzert - Beethoven 5 (mp3cut.net).mp3",6581.016,01:49:41,105725548,100.828,"special/characters/patrice-hathaway/Anne-Sophie Mutter und Münchner Orchester - Beethoven Violinkonzert - Beethoven 5 (mp3cut.net).mp3",yes
"Abandoned Town Ambience and Music  fantasy ambience of ruins of a town with music #ambientmusic.mp3",3726.106,01:02:06,89426683,85.284,"contacts/devastation/Abandoned Town Ambience and Music  fantasy ambience of ruins of a town with music #ambientmusic.mp3",yes
"Hallucinations (Lovecraftian Dark Ambient Hour).mp3",3700.950,01:01:41,88822941,84.708,"ancient/hypnos/Hallucinations (Lovecraftian Dark Ambient Hour).mp3",yes
"Vintage Music ｜ Best Songs From The Roaring 1920s #vintage  #goldenage  #roaring20s.mp3",5499.089,01:31:39,87992279,83.916,"action/Vintage Music ｜ Best Songs From The Roaring 1920s #vintage  #goldenage  #roaring20s.mp3",yes
"DARK MYSTERIOUS AMBIENT MUSIC ｜ The Hall of the Dead King.mp3",5456.065,01:30:56,87890019,83.818,"contacts/expedition/ruins/DARK MYSTERIOUS AMBIENT MUSIC ｜ The Hall of the Dead King.mp3",yes
"D&DRPG Combat Music Mix  1 Hour  Royalty Free  Travis Savoie.mp3",3638.596,01:00:39,87327693,83.282,"combat/D&DRPG Combat Music Mix  1 Hour  Royalty Free  Travis Savoie.mp3",yes
"The Curse of La Llorona ｜ Dark Mysterious Ambient Music.mp3",5400.111,01:30:00,87145896,83.109,"contacts/big-city/buenos-aires/The Curse of La Llorona ｜ Dark Mysterious Ambient Music.mp3",yes
"1 Hour of HP Lovecraft Music ¦ The Streets of Arkham and Other Places.mp3",3627.180,01:00:27,87052466,83.020,"contacts/big-city/arkham/1 Hour of HP Lovecraft Music ¦ The Streets of Arkham and Other Places.mp3",yes
"2 ULTHAR Peaceful Village Ambience and Music  morning in a village ambience with fantasy music #ambientmusic.mp3",3615.896,01:00:16,86781629,82.761,"contacts/dreamlands/ulthar/2 ULTHAR Peaceful Village Ambience and Music  morning in a village ambience with fantasy music #ambientmusic.mp3",yes
"10  .mp3",3609.469,01:00:09,86627402,82.614,"contacts/general/wilderness/space-10/10  .mp3",yes
"Sahara -- Crossing the Desert Ambience and Music  sounds of a desert with ambient music #ambientmusic.mp3",3609.391,01:00:09,86626775,82.614,"contacts/egypt/sahara-desert/Sahara -- Crossing the Desert Ambience and Music  sounds of a desert with ambient music #ambientmusic.mp3",yes
"Sailing Ship  High Seas Ambience  1 Hour.mp3",3601.110,01:00:01,86426781,82.423,"contacts/general/sea/space-11/Sailing Ship  High Seas Ambience  1 Hour.mp3",yes
"3 UNDERWORLD --- Monster Infested Cave Ambience.mp3",3599.151,00:59:59,86379761,82.378,"contacts/dreamlands/underworld/3 UNDERWORLD --- Monster Infested Cave Ambience.mp3",yes
"Traditional Japanese Music  Shamisen, Koto & Taiko Music.mp3",3450.648,00:57:31,82816846,78.980,"contacts/big-city/tokyo/Traditional Japanese Music  Shamisen, Koto & Taiko Music.mp3",yes
"1920s Orchestra Swing Love Music From The Golden Age ｜ Old Dusty Fascinated Vinyls.mp3",4914.077,01:21:54,78636641,74.994,"action/1920s Orchestra Swing Love Music From The Golden Age ｜ Old Dusty Fascinated Vinyls.mp3",yes
"Cthulhu - A Cryo Chamber Collaboration.mp3",4782.603,01:19:43,78590936,74.950,"ancient/antediluvium/Cthulhu - A Cryo Chamber Collaboration.mp3",yes
"3 UNDERWORLD --- CAVE SOUNDS for DEEP SLEEP ⛰️  INSIDE the CAVE Ambience⧸ASMR + WATER DRIPPING.m4a",4800.053,01:20:00,77632560,74.036,"contacts/dreamlands/underworld/3 UNDERWORLD --- CAVE SOUNDS for DEEP SLEEP ⛰️  INSIDE the CAVE Ambience⧸ASMR + WATER DRIPPING.m4a",yes
"Fascinating Rhythm： Great 1920s Vintage Jazz Music Hits (Past Perfect) #TheCharleston.mp3",4722.077,01:18:42,75562496,72.062,"action/Fascinating Rhythm： Great 1920s Vintage Jazz Music Hits (Past Perfect) #TheCharleston.mp3",yes
"Dunwich Fantasia - Gnosis of Yog-Sothoth (Lovecraftian Dark Ambient Hour).mp3",4678.505,01:17:59,74858331,71.390,"ancient/yog-sothoth/Dunwich Fantasia - Gnosis of Yog-Sothoth (Lovecraftian Dark Ambient Hour).mp3",yes
"1920s Music Golden Age Orchestra Music ｜ Old Dusty Fascinated Grooves Playlist.mp3",4670.093,01:17:50,74728896,71.267,"action/1920s Music Golden Age Orchestra Music ｜ Old Dusty Fascinated Grooves Playlist.mp3",yes
"Charleston： Great Stars And Songs of the 1920s. Dance to Tunes Remastered by Past Perfect.mp3",4574.067,01:16:14,73193492,69.803,"action/Charleston： Great Stars And Songs of the 1920s. Dance to Tunes Remastered by Past Perfect.mp3",yes
"DARK AMBIENT MUSIC ｜ Yuki-onna - The Snow Woman will leave you frozen in Fear.mp3",4405.969,01:13:26,71840305,68.512,"contacts/big-city/shanghai/DARK AMBIENT MUSIC ｜ Yuki-onna - The Snow Woman will leave you frozen in Fear.mp3",yes
"Spiders' Cave _ Fantasy ASMR Ambience _ 1 Hour 4.mp3",3600.000,01:00:00,71530045,68.216,"ancient/atlach-nacha/Spiders' Cave _ Fantasy ASMR Ambience _ 1 Hour 4.mp3",yes
"The Shadow Over Innsmouth ¦ 1 Hour of Dark Mystery HP Lovecraft Horror Music.mp3",4378.253,01:12:58,71225645,67.926,"mythos/The Shadow Over Innsmouth ¦ 1 Hour of Dark Mystery HP Lovecraft Horror Music.mp3",yes
"Out of Space and Time (Dark Ambient Hour).mp3",4343.354,01:12:23,70461489,67.197,"contacts/obstruction/lost/Out of Space and Time (Dark Ambient Hour).mp3",yes
"Nyarlathotep  - Dark Music Part 2 ⧸ 3.mp3",4315.847,01:11:56,69645454,66.419,"ancient/nyarlathotep/Nyarlathotep  - Dark Music Part 2 ⧸ 3.mp3",yes
"ANUBIS AWAKENS ｜ Dark Mysterious Ambient Music.mp3",4273.763,01:11:14,68886986,65.696,"ancient/nephren-ka/ANUBIS AWAKENS ｜ Dark Mysterious Ambient Music.mp3",yes
"Yig 1⧸2 - A Cryo Chamber Collaboration.mp3",4221.048,01:10:21,68504699,65.331,"ancient/yig/Yig 1⧸2 - A Cryo Chamber Collaboration.mp3",yes
"Hastur 2 ⧸ 2.mp3",4235.180,01:10:35,68445040,65.274,"ancient/hastur/Hastur 2 ⧸ 2.mp3",yes
"Hastur 1 ⧸ 2.mp3",4183.771,01:09:44,67622496,64.490,"ancient/hastur/Hastur 1 ⧸ 2.mp3",yes
"The King in Yellow ¦ 1 Hour of Dark Orchestral Horror Music.mp3",4150.570,01:09:11,67603893,64.472,"ancient/hastur/The King in Yellow ¦ 1 Hour of Dark Orchestral Horror Music.mp3",yes
"you're in a russian novel _ dark academia playlist [RveIxb_jZmM].mp3",5014.335,01:23:34,67476118,64.350,"contacts/general/city/space-16/you're in a russian novel _ dark academia playlist [RveIxb_jZmM].mp3",yes
"Epic Dark Dramatic Intense Action Music ｜ ＂ Chaos And DESTRUCTION ＂ - Epic Battle Music Mix 2023.mp3",4140.722,01:09:01,67377740,64.256,"ancient/shudde-mell/Epic Dark Dramatic Intense Action Music ｜ ＂ Chaos And DESTRUCTION ＂ - Epic Battle Music Mix 2023.mp3",yes
"Yig 2⧸2 - A Cryo Chamber Collaboration.mp3",4146.528,01:09:07,67312413,64.194,"ancient/yig/Yig 2⧸2 - A Cryo Chamber Collaboration.mp3",yes
"Alexandria -- Ancient Egyptian ｜ Ambience & Music - Necropolis of Alexandria (mp3cut.net).mp3",4117.812,01:08:38,66612538,63.527,"contacts/egypt/alexandria/Alexandria -- Ancient Egyptian ｜ Ambience & Music - Necropolis of Alexandria (mp3cut.net).mp3",yes
"5 DYLATH-LEEN --- Thebes - Ancient Fantasy Journey Music   - Beautiful Ambient Duduk for Study, Reading and Focus.mp3",4092.056,01:08:12,66375971,63.301,"contacts/dreamlands/dylath-leen/5 DYLATH-LEEN --- Thebes - Ancient Fantasy Journey Music   - Beautiful Ambient Duduk for Study, Reading and Focus.mp3",yes
"Summoning Cthulhu - Sounds from the Deep.mp3",4101.225,01:08:21,65624566,62.584,"ancient/antediluvium/Summoning Cthulhu - Sounds from the Deep.mp3",yes
"DARK AMBIENT MUSIC  Lovecraft  Lost in Arkham.mp3",2700.147,00:45:00,64803663,61.802,"contacts/big-city/arkham/DARK AMBIENT MUSIC  Lovecraft  Lost in Arkham.mp3",yes
"Nyarlathotep  - Dark Music Part 1 ⧸ 3.mp3",3952.901,01:05:53,63838377,60.881,"ancient/nyarlathotep/Nyarlathotep  - Dark Music Part 1 ⧸ 3.mp3",yes
"1 Hour HP Lovecraft Music ¦ The Esoteric Order of Dagon.mp3",3882.024,01:04:42,62905609,59.991,"mythos/1 Hour HP Lovecraft Music ¦ The Esoteric Order of Dagon.mp3",yes
"Azathoth 2 ⧸ 2.mp3",3900.134,01:05:00,62817765,59.908,"ancient/azathoth/Azathoth 2 ⧸ 2.mp3",yes
"HOT --- Wilderness Travel ｜ D&D⧸TTRPG Music ｜ 1 Hour.mp3",3821.479,01:03:41,62528356,59.632,"contacts/expedition/expeditions/hot/HOT --- Wilderness Travel ｜ D&D⧸TTRPG Music ｜ 1 Hour.mp3",yes
"INNER SANCTUM  ( 1 Hour  Meditation in Darkness) - Occult Dark Ambient - V E X A G O R A.mp3",3861.081,01:04:21,62453148,59.560,"ancient/abhoth/INNER SANCTUM  ( 1 Hour  Meditation in Darkness) - Occult Dark Ambient - V E X A G O R A.mp3",yes
"CITY --- Large City ｜ D&D⧸TTRPG Music ｜ 1 Hour.mp3",3791.621,01:03:12,61920339,59.052,"contacts/expedition/expeditions/city/CITY --- Large City ｜ D&D⧸TTRPG Music ｜ 1 Hour.mp3",yes
"1920s Hotel ASMR Ambience {with vintage music from Tower of Terror}.mp3",3856.927,01:04:17,61888072,59.021,"action-muted/1920s Hotel ASMR Ambience {with vintage music from Tower of Terror}.mp3",yes
"Cthulhu - Dark Atmospheric Ambient Journey - Lovecraftian Horror Music Inspired by H.P. Lovecraft.mp3",3806.772,01:03:27,61731120,58.871,"ancient/cthulhu/Cthulhu - Dark Atmospheric Ambient Journey - Lovecraftian Horror Music Inspired by H.P. Lovecraft.mp3",yes
"CITY --- The Adventure Begins ｜ D&D⧸TTRPG Music ｜ 1 Hour.mp3",3758.132,01:02:38,61381358,58.538,"contacts/expedition/expeditions/city/CITY --- The Adventure Begins ｜ D&D⧸TTRPG Music ｜ 1 Hour.mp3",yes
"Noir Jazz Ambience 🎷 Empire of Sin background 🎶 Rainy Night in 1920s Chicago_ Film Noir Remix 🎶 [WPdzpAUEMtA].mp3",3737.809,01:02:18,61360097,58.518,"contacts/general/city/space-5/Noir Jazz Ambience 🎷 Empire of Sin background 🎶 Rainy Night in 1920s Chicago_ Film Noir Remix 🎶 [WPdzpAUEMtA].mp3",yes
"Epic Combat ｜ D&D⧸TTRPG Battle⧸Combat⧸Fight Music ｜ 1 Hour.mp3",3731.931,01:02:12,61236043,58.399,"combat/Epic Combat ｜ D&D⧸TTRPG Battle⧸Combat⧸Fight Music ｜ 1 Hour.mp3",yes
"DARK --- Tense Path ｜ D&D⧸TTRPG Music ｜ 1 Hour.mp3",3731.487,01:02:11,60609389,57.802,"contacts/expedition/expeditions/cold/DARK --- Tense Path ｜ D&D⧸TTRPG Music ｜ 1 Hour.mp3",yes
"you're inside the cosmic horror world of lovecraft (a playlist).mp3",3777.463,01:02:57,60442445,57.642,"contacts/other-world/dreamlands/you're inside the cosmic horror world of lovecraft (a playlist).mp3",yes
"Azathoth - Lovecraftian Dark Ambient Music - Original Composition inspired by H.P. Lovecraft.m4a",3711.780,01:01:52,60031717,57.251,"ancient/azathoth/Azathoth - Lovecraftian Dark Ambient Music - Original Composition inspired by H.P. Lovecraft.m4a",yes
"Rhan-Tegoth Part 1  [ Dark Ambient Lovecraft series].mp3",3694.080,01:01:34,59993907,57.215,"mythos/Rhan-Tegoth Part 1  [ Dark Ambient Lovecraft series].mp3",yes
"MEDITATIONS FOR SHAI-HULUD ｜ 1 Hour DUNE Soundscape for Focus.mp3",3715.840,01:01:56,59915482,57.140,"ancient/shudde-mell/MEDITATIONS FOR SHAI-HULUD ｜ 1 Hour DUNE Soundscape for Focus.mp3",yes
"Aberration Fight ｜ D&D⧸TTRPG Battle⧸Combat⧸Fight Music ｜ 1 Hour.mp3",3685.277,01:01:25,59776926,57.008,"combat/Aberration Fight ｜ D&D⧸TTRPG Battle⧸Combat⧸Fight Music ｜ 1 Hour.mp3",yes
"RPG BATTLE MUSIC SPIDER ｜ Musica de Batalha Aranhas ｜ No Copyrigh FANTASY MUSIC.mp3",3656.150,01:00:56,59757541,56.989,"ancient/atlach-nacha/RPG BATTLE MUSIC SPIDER ｜ Musica de Batalha Aranhas ｜ No Copyrigh FANTASY MUSIC.mp3",yes
"1 Hour of H.P. Lovecraft Music： The House on Sentinel Hill for Gaming, Arkham Horror, CoC, D&D.mp3",3644.787,01:00:45,59577474,56.818,"mythos/1 Hour of H.P. Lovecraft Music： The House on Sentinel Hill for Gaming, Arkham Horror, CoC, D&D.mp3",yes
"DEMONS _ 1 HOUR of Epic Dark Evil Sinister Dramatic Horror Music [SN5awaBMkuY].mp3",3886.733,01:04:47,59569538,56.810,"combat-epic/DEMONS _ 1 HOUR of Epic Dark Evil Sinister Dramatic Horror Music [SN5awaBMkuY].mp3",yes
"14 GATES.mp3",2480.980,00:41:21,59543647,56.785,"special/disaster/location/otherworldly-rifts/14 GATES.mp3",yes
"SYDNEY - Relaxing Meditative AMBIENT MUSIC： Post-Apocalyptic Cyberpunk Music at Sydney Opera House.mp3",3600.405,01:00:00,59499292,56.743,"contacts/big-city/sydney/SYDNEY - Relaxing Meditative AMBIENT MUSIC： Post-Apocalyptic Cyberpunk Music at Sydney Opera House.mp3",yes
"Cairo -- EGYPTIAN PARADISE 🌈 Relaxing Egyptian music l stress and anxiety relief.mp3",3600.118,01:00:00,59380929,56.630,"contacts/egypt/cairo/Cairo -- EGYPTIAN PARADISE 🌈 Relaxing Egyptian music l stress and anxiety relief.mp3",yes
"1 BASE --- One Hour at Station Blue • Antarctic Horror Ambience.mp3",3695.883,01:01:36,59374984,56.624,"contacts/antarctica/miskatonic-outpost/1 BASE --- One Hour at Station Blue • Antarctic Horror Ambience.mp3",yes
"Flute of Azathoth - Eldritch Music of the Old Ones ｜ Dark Ambient Music.mp3",3695.282,01:01:35,59352830,56.603,"ancient/syzygy/Flute of Azathoth - Eldritch Music of the Old Ones ｜ Dark Ambient Music.mp3",yes
"Yog-Sothoth ( Part 1 of 2 ).mp3",3669.525,01:01:10,59293094,56.546,"ancient/yog-sothoth/Yog-Sothoth ( Part 1 of 2 ).mp3",yes
"1 Hour of H.P. Lovecraft Music： Orchestral Ambient Creepy Horror Music for Role-Playing and Gaming.mp3",3627.128,01:00:27,59283206,56.537,"mythos/1 Hour of H.P. Lovecraft Music： Orchestral Ambient Creepy Horror Music for Role-Playing and Gaming.mp3",yes
"1920s Music Playing in Another Room ｜ Oldies and Ocean View Ambience.mp3",3628.278,01:00:28,59282347,56.536,"action-muted/1920s Music Playing in Another Room ｜ Oldies and Ocean View Ambience.mp3",yes
"Skyrim - Ambience - Apocrypha [Black Book, Dragon, Plane of Oblivion].mp3",3602.730,01:00:03,59276677,56.531,"contacts/other-world/celaeno/Skyrim - Ambience - Apocrypha [Black Book, Dragon, Plane of Oblivion].mp3",yes
